Provinsi/Kabupaten/Kota,2020,2021
ACEH,9492,9572
Simeulue,7085,7148
Aceh Singkil,8707,8776
Aceh Selatan,8089,8180
Aceh Tenggara,8020,8030
Aceh Timur,8489,8577
Aceh Tengah,10673,10780
Aceh Barat,9516,9593
Aceh Besar,9641,9644
Pidie,9816,9860
Bireuen,8857,8867
Aceh Utara,8122,8201
Aceh Barat Daya,8316,8428
Gayo Lues,8791,8856
Aceh Tamiang,8327,8367
Nagan Raya,8216,8292
Aceh Jaya,9615,9666
Bener Meriah,11098,11118
Pidie Jaya,10071,10290
Kota Banda Aceh,16778,16891
Kota Sabang,11273,11378
Kota Langsa,12057,12067
Kota Lhokseumawe,11367,11390
Kota Subulussalam,7317,7385
SUMATERA UTARA,10420,10499
Nias,6898,6995
Mandailing Natal,9684,9771
Tapanuli Selatan,11236,11304
Tapanuli Tengah,10071,10138
Tapanuli Utara,11648,11710
Toba Samosir / Toba,12154,12224
Labuhan Batu,11150,11212
Asahan,10890,11030
Simalungun,11308,11376
Dairi,10350,10504
Karo,12349,12412
Deli Serdang,12225,12291
Langkat,11071,11142
Nias Selatan,6974,7041
Humbang Hasundutan,7850,8016
Pakpak Bharat,8170,8254
Samosir,8422,8504
Serdang Bedagai,10950,11017
Batu Bara,10410,10539
Padang Lawas Utara,9987,10055
Padang Lawas,8807,8921
Labuhan Batu Selatan,11495,11562
Labuhan Batu Utara,11779,11840
Nias Utara,6064,6155
Nias Barat,5830,5924
Kota Sibolga,11473,11540
Kota Tanjung Balai,11132,11225
Kota Pematang Siantar,12372,12436
Kota Tebing Tinggi,12876,12939
Kota Medan,14890,14999
Kota Binjai,10997,11063
Kota Padangsidimpuan,10856,10965
Kota Gunungsitoli,7980,8134
SUMATERA BARAT,10733,10790
Kepulauan Mentawai,6281,6321
Pesisir Selatan,9212,9270
Solok,10171,10215
Sijunjung,10361,10389
Tanah Datar,10588,10616
Padang Pariaman,10998,11050
Agam,9651,9662
Lima Puluh Kota,9596,9668
Pasaman,8425,8440
Solok Selatan,10325,10367
Dharmasraya,11273,11324
Pasaman Barat,9047,9089
Kota Padang,14481,14540
Kota Solok,12117,12168
Kota Sawah Lunto,10182,10195
Kota Padang Panjang,10734,10754
Kota Bukittinggi,13282,13331
Kota Payakumbuh,13281,13317
Kota Pariaman,12796,12818
RIAU,10675,10736
Kuantan Singingi,10243,10309
Indragiri Hulu,10202,10260
Indragiri Hilir,9954,9945
Pelalawan,11606,11672
Siak,11799,11807
Kampar,10796,10858
Rokan Hulu,9374,9406
Bengkalis,11331,11415
Rokan Hilir,9362,9417
Kepulauan Meranti,7790,7780
Kota Pekanbaru,14433,14360
Kota Dumai,11751,11818
JAMBI,10392,10588
Kerinci,9995,10184
Merangin,10279,10380
Sarolangun,11616,11792
Batang Hari,9825,10032
Muaro Jambi,8556,8825
Tanjung Jabung Timur,9026,9163
Tanjung Jabung Barat,9480,9699
Tebo,10389,10546
Bungo,11471,11670
Kota Jambi,12056,12240
Kota Sungai Penuh,10248,10454
SUMATERA SELATAN,10652,10662
Ogan Komering Ulu,10020,10040
Ogan Komering Ilir,10725,10755
Muara Enim,10951,10995
Lahat,9730,9735
Musi Rawas,9520,9550
Musi Banyuasin,10088,10140
Banyu Asin,9850,9860
Ogan Komering Ulu Selatan,8580,8585
Ogan Komering Ulu Timur,11505,11531
Ogan Ilir,10424,10454
Empat Lawang,9350,9400
Penukal Abab Lematang Ilir,8196,8210
Musi Rawas Utara,9783,9855
Kota Palembang,14679,14704
Kota Prabumulih,12723,12752
Kota Pagar Alam,8795,8877
Kota Lubuklinggau,13243,13267
BENGKULU,10380,10487
Bengkulu Selatan,9837,9916
Rejang Lebong,10234,10323
Bengkulu Utara,10263,10410
Kaur,8593,8638
Seluma,8220,8256
Mukomuko,10266,10405
Lebong,11124,11317
Kepahiang,9273,9377
Bengkulu Tengah,9392,9471
Kota Bengkulu,13938,14108
LAMPUNG,9982,10038
Lampung Barat,9929,9969
Tanggamus,9250,9266
Lampung Selatan,9875,9931
Lampung Timur,9983,10026
Lampung Tengah,11219,11259
Lampung Utara,8733,8737
Way Kanan,9102,9173
Tulangbawang,10683,10735
Pesawaran,7892,7934
Pringsewu,10262,10302
Mesuji,7894,7980
Tulang Bawang Barat,8395,8422
Pesisir Barat,8457,8533
Kota Bandar Lampung,12197,12247
Kota Metro,11906,11916
KEP. BANGKA BELITUNG,12794,12819
Bangka,12416,12424
Belitung,13554,13563
Bangka Barat,12233,12269
Bangka Tengah,12909,12945
Bangka Selatan,11757,11768
Belitung Timur,11730,11760
Kota Pangkal Pinang,15663,15716
KEPULAUAN RIAU,14209,14122
Karimun,11885,11879
