Provinsi/Kabupaten/Kota,2022
ACEH,9963
Simeulue,7371
Aceh Singkil,8994
Aceh Selatan,8353
Aceh Tenggara,8222
Aceh Timur,9127
Aceh Tengah,10957
Aceh Barat,9775
Aceh Besar,9894
Pidie,10211
Bireuen,9438
Aceh Utara,8620
Aceh Barat Daya,8651
Gayo Lues,9094
Aceh Tamiang,8759
Nagan Raya,8581
Aceh Jaya,10041
Bener Meriah,11421
Pidie Jaya,10701
Kota Banda Aceh,17228
Kota Sabang,11780
Kota Langsa,12353
Kota Lhokseumawe,11701
Kota Subulussalam,7689
SUMATERA UTARA,10848
Nias,7196
Mandailing Natal,10061
Tapanuli Selatan,11727
Tapanuli Tengah,10495
Tapanuli Utara,11892
Toba Samosir / Toba,12475
Labuhan Batu,11474
Asahan,11515
Simalungun,11524
Dairi,10740
Karo,12554
Deli Serdang,12657
Langkat,11439
Nias Selatan,7195
Humbang Hasundutan,8250
Pakpak Bharat,8558
Samosir,8991
Serdang Bedagai,11499
Batu Bara,10755
Padang Lawas Utara,10447
Padang Lawas,9207
Labuhan Batu Selatan,11751
Labuhan Batu Utara,12258
Nias Utara,6575
Nias Barat,6152
Kota Sibolga,12135
Kota Tanjung Balai,11589
Kota Pematang Siantar,12744
Kota Tebing Tinggi,13144
Kota Medan,15503
Kota Binjai,11358
Kota Padangsidimpuan,11337
Kota Gunungsitoli,8434
SUMATERA BARAT,11130
Kepulauan Mentawai,6567
Pesisir Selatan,9686
Solok,10539
Sijunjung,10582
Tanah Datar,10695
Padang Pariaman,11159
Agam,10171
Lima Puluh Kota,10035
Pasaman,8619
Solok Selatan,10560
Dharmasraya,11650
Pasaman Barat,9381
Kota Padang,14889
Kota Solok,12515
Kota Sawah Lunto,10537
Kota Padang Panjang,11153
Kota Bukittinggi,13633
Kota Payakumbuh,13687
Kota Pariaman,13150
RIAU,11158
Kuantan Singingi,10647
Indragiri Hulu,10472
Indragiri Hilir,10234
Pelalawan,12163
Siak,12230
Kampar,11394
Rokan Hulu,9841
Bengkalis,11857
Rokan Hilir,9906
Kepulauan Meranti,8246
Kota Pekanbaru,14804
Kota Dumai,12249
JAMBI,10871
Kerinci,10570
Merangin,10714
Sarolangun,12069
Batang Hari,10173
Muaro Jambi,9118
Tanjung Jabung Timur,9503
Tanjung Jabung Barat,9968
Tebo,10725
Bungo,11956
Kota Jambi,12597
Kota Sungai Penuh,10745
SUMATERA SELATAN,11109
Ogan Komering Ulu,10499
Ogan Komering Ilir,11251
Muara Enim,11304
Lahat,10296
Musi Rawas,10107
Musi Banyuasin,10453
Banyu Asin,10299
Ogan Komering Ulu Selatan,8895
Ogan Komering Ulu Timur,11759
Ogan Ilir,11069
Empat Lawang,9838
Penukal Abab Lematang Ilir,8680
Musi Rawas Utara,10283
Kota Palembang,15168
Kota Prabumulih,13106
Kota Pagar Alam,9330
Kota Lubuklinggau,13832
