Bulan/Tahun,Value
01/01/2020,106.91
02/01/2020,106.91
03/01/2020,106.91
04/01/2020,106.91
05/01/2020,106.91
06/01/2020,106.91
07/01/2020,107.05
08/01/2020,107.92
09/01/2020,107.93
10/01/2020,107.93
11/01/2020,107.93
12/01/2020,107.93
01/01/2021,107.92
02/01/2021,107.92
03/01/2021,107.92
04/01/2021,107.81
05/01/2021,107.81
06/01/2021,107.81
07/01/2021,107.99
08/01/2021,110.22
09/01/2021,110.27
10/01/2021,110.27
11/01/2021,110.27
12/01/2021,110.27
01/01/2022,110.27
02/01/2022,110.3
03/01/2022,110.3
04/01/2022,110.3
05/01/2022,110.3
06/01/2022,110.3
07/01/2022,110.7
08/01/2022,112.54
09/01/2022,112.65
10/01/2022,112.65
11/01/2022,112.65
12/01/2022,112.65
01/01/2023,112.66
02/01/2023,112.66
03/01/2023,112.66
04/01/2023,112.66
05/01/2023,112.66
06/01/2023,112.66
07/01/2023,113.92
08/01/2023,115.26
09/01/2023,115.3
10/01/2023,115.3
11/01/2023,115.3
12/01/2023,115.3
