Bulan/Tahun,Value
01/01/2020,106.07
02/01/2020,106.09
03/01/2020,106.09
04/01/2020,106.09
05/01/2020,106.09
06/01/2020,106.09
07/01/2020,106.26
08/01/2020,106.87
09/01/2020,107.53
10/01/2020,107.57
11/01/2020,107.7
12/01/2020,107.7
01/01/2021,107.74
02/01/2021,107.74
03/01/2021,107.75
04/01/2021,107.76
05/01/2021,107.77
06/01/2021,107.8
07/01/2021,107.99
08/01/2021,109.29
09/01/2021,109.4
10/01/2021,109.42
11/01/2021,109.42
12/01/2021,109.42
01/01/2022,109.51
02/01/2022,109.59
03/01/2022,109.6
04/01/2022,109.6
05/01/2022,109.61
06/01/2022,109.62
07/01/2022,109.99
08/01/2022,112.02
09/01/2022,112.25
10/01/2022,112.42
11/01/2022,112.44
12/01/2022,112.45
01/01/2023,112.58
02/01/2023,112.61
03/01/2023,112.61
04/01/2023,112.61
05/01/2023,112.62
06/01/2023,112.63
07/01/2023,113.37
08/01/2023,114.34
09/01/2023,114.58
10/01/2023,114.66
11/01/2023,114.67
12/01/2023,114.67
