Bulan/Tahun,Value
01/01/2020,104.14
02/01/2020,104.16
03/01/2020,104.16
04/01/2020,104.16
05/01/2020,104.16
06/01/2020,104.16
07/01/2020,104.2
08/01/2020,104.52
09/01/2020,106.25
10/01/2020,106.37
11/01/2020,106.37
12/01/2020,106.37
01/01/2021,106.37
02/01/2021,106.37
03/01/2021,106.37
04/01/2021,106.38
05/01/2021,106.38
06/01/2021,106.38
07/01/2021,106.47
08/01/2021,107.48
09/01/2021,107.73
10/01/2021,107.75
11/01/2021,107.75
12/01/2021,107.75
01/01/2022,107.75
02/01/2022,107.75
03/01/2022,107.75
04/01/2022,107.75
05/01/2022,107.75
06/01/2022,107.75
07/01/2022,107.78
08/01/2022,110.29
09/01/2022,110.65
10/01/2022,110.93
11/01/2022,110.93
12/01/2022,110.93
01/01/2023,110.93
02/01/2023,110.93
03/01/2023,110.93
04/01/2023,110.93
05/01/2023,110.93
06/01/2023,110.93
07/01/2023,110.97
08/01/2023,111.98
09/01/2023,112.46
10/01/2023,112.5
11/01/2023,112.5
12/01/2023,112.5
