Bulan/Tahun,Laju Inflasi
01/01/2020,0.00
02/01/2020,0.02
03/01/2020,0.00
04/01/2020,0.00
05/01/2020,0.00
06/01/2020,0.00
07/01/2020,0.04
08/01/2020,0.31
09/01/2020,1.66
10/01/2020,0.11
11/01/2020,0.00
12/01/2020,0.00
01/01/2021,0.37
02/01/2021,0.00
03/01/2021,0.02
04/01/2021,0.43
05/01/2021,0.05
06/01/2021,0.15
07/01/2021,0.26
08/01/2021,0.08
09/01/2021,0.04
10/01/2021,0.01
11/01/2021,0.02
12/01/2021,0.02
01/01/2022,0.62
02/01/2022,0.54
03/01/2022,0.01
04/01/2022,0.02
05/01/2022,0.09
06/01/2022,0.05
07/01/2022,0.90
08/01/2022,0.30
09/01/2022,0.47
10/01/2022,0.60
11/01/2022,0.18
12/01/2022,0.02
01/01/2023,0.92
02/01/2023,0.25
03/01/2023,0.03
04/01/2023,0.01
05/01/2023,0.03
06/01/2023,0.03
07/01/2023,0.83
08/01/2023,0.16
09/01/2023,0.27
10/01/2023,0.52
11/01/2023,
12/01/2023,
