Bulan/Tahun,Laju Inflasi
01/01/2020,-0.66
02/01/2020,0.00
03/01/2020,0.00
04/01/2020,0.00
05/01/2020,0.00
06/01/2020,0.00
07/01/2020,0.13
08/01/2020,0.81
09/01/2020,0.01
10/01/2020,0.00
11/01/2020,0.00
12/01/2020,0.00
01/01/2021,-0.01
02/01/2021,0.00
03/01/2021,0.00
04/01/2021,-0.10
05/01/2021,0.00
06/01/2021,0.00
07/01/2021,0.17
08/01/2021,2.07
09/01/2021,0.05
10/01/2021,0.00
11/01/2021,0.00
12/01/2021,0.00
01/01/2022,0.00
02/01/2022,0.03
03/01/2022,0.00
04/01/2022,0.00
05/01/2022,0.00
06/01/2022,0.00
07/01/2022,0.36
08/01/2022,1.66
09/01/2022,0.10
10/01/2022,0.00
11/01/2022,0.00
12/01/2022,0.00
01/01/2023,0.01
02/01/2023,0.00
03/01/2023,0.00
04/01/2023,0.00
05/01/2023,0.00
06/01/2023,0.00
07/01/2023,1.12
08/01/2023,1.18
09/01/2023,0.03
10/01/2023,0.00
11/01/2023,
12/01/2023,
