Bulan/Tahun,Laju Inflasi
01/01/2020,-0.14
02/01/2020,0.02
03/01/2020,0.00
04/01/2020,0.00
05/01/2020,0.00
06/01/2020,0.00
07/01/2020,0.16
08/01/2020,0.57
09/01/2020,0.62
10/01/2020,0.04
11/01/2020,0.12
12/01/2020,0.00
01/01/2021,0.04
02/01/2021,0.00
03/01/2021,0.01
04/01/2021,0.01
05/01/2021,0.01
06/01/2021,0.03
07/01/2021,0.18
08/01/2021,1.20
09/01/2021,0.10
10/01/2021,0.02
11/01/2021,0.00
12/01/2021,0.00
01/01/2022,0.08
02/01/2022,0.07
03/01/2022,0.01
04/01/2022,0.00
05/01/2022,0.01
06/01/2022,0.01
07/01/2022,0.34
08/01/2022,1.85
09/01/2022,0.21
10/01/2022,0.15
11/01/2022,0.02
12/01/2022,0.01
01/01/2023,0.12
02/01/2023,0.03
03/01/2023,0.00
04/01/2023,0.00
05/01/2023,0.01
06/01/2023,0.01
07/01/2023,0.66
08/01/2023,0.86
09/01/2023,0.21
10/01/2023,0.07
11/01/2023,
12/01/2023,
