Bulan/Tahun,Laju Inflasi
01/01/2020,0.00
02/01/2020,0.02
03/01/2020,0.00
04/01/2020,0.00
05/01/2020,0.00
06/01/2020,0.00
07/01/2020,0.04
08/01/2020,0.31
09/01/2020,1.66
10/01/2020,0.11
11/01/2020,0.00
12/01/2020,0.00
01/01/2021,0.00
02/01/2021,0.00
03/01/2021,0.00
04/01/2021,0.01
05/01/2021,0.00
06/01/2021,0.00
07/01/2021,0.08
08/01/2021,0.95
09/01/2021,0.23
10/01/2021,0.02
11/01/2021,0.00
12/01/2021,0.00
01/01/2022,0.00
02/01/2022,0.00
03/01/2022,0.00
04/01/2022,0.00
05/01/2022,0.00
06/01/2022,0.00
07/01/2022,0.03
08/01/2022,2.33
09/01/2022,0.33
10/01/2022,0.25
11/01/2022,0.00
12/01/2022,0.00
01/01/2023,0.00
02/01/2023,0.00
03/01/2023,0.00
04/01/2023,0.00
05/01/2023,0.00
06/01/2023,0.00
07/01/2023,0.04
08/01/2023,0.91
09/01/2023,0.43
10/01/2023,0.04
11/01/2023,
12/01/2023,
