Bulan/Tahun,Value
01/01/2020,0.37
02/01/2020,0.4
03/01/2020,0.41
04/01/2020,0.43
05/01/2020,0.44
06/01/2020,0.47
07/01/2020,0.38
08/01/2020,0.47
09/01/2020,0.5
10/01/2020,0.5
11/01/2020,1.64
12/01/2020,1.64
01/01/2021,0.37
02/01/2021,0.37
03/01/2021,0.39
04/01/2021,0.82
05/01/2021,0.87
06/01/2021,1.02
07/01/2021,1.28
08/01/2021,1.36
09/01/2021,1.4
10/01/2021,1.41
11/01/2021,1.42
12/01/2021,1.44
01/01/2022,0.62
02/01/2022,1.17
03/01/2022,1.18
04/01/2022,1.19
05/01/2022,1.29
06/01/2022,1.34
07/01/2022,2.25
08/01/2022,2.56
09/01/2022,3.04
10/01/2022,3.66
11/01/2022,3.86
12/01/2022,3.87
01/01/2023,0.92
02/01/2023,1.18
03/01/2023,1.2
04/01/2023,1.21
05/01/2023,1.25
06/01/2023,1.27
07/01/2023,2.11
08/01/2023,2.28
09/01/2023,2.56
10/01/2023,3.1
11/01/2023,3.16
12/01/2023,3.16
