Bulan/Tahun,Value
01/01/2020,-0.66
02/01/2020,-0.66
03/01/2020,-0.66
04/01/2020,-0.66
05/01/2020,-0.66
06/01/2020,-0.66
07/01/2020,-0.53
08/01/2020,0.28
09/01/2020,0.29
10/01/2020,0.29
11/01/2020,0.29
12/01/2020,0.29
01/01/2021,-0.01
02/01/2021,-0.01
03/01/2021,-0.01
04/01/2021,-0.11
05/01/2021,-0.11
06/01/2021,-0.11
07/01/2021,0.06
08/01/2021,2.12
09/01/2021,2.17
10/01/2021,2.17
11/01/2021,2.17
12/01/2021,2.17
01/01/2022,0
02/01/2022,0.03
03/01/2022,0.03
04/01/2022,0.03
05/01/2022,0.03
06/01/2022,0.03
07/01/2022,0.39
08/01/2022,2.06
09/01/2022,2.16
10/01/2022,2.16
11/01/2022,2.16
12/01/2022,2.16
01/01/2023,0.01
02/01/2023,0.01
03/01/2023,0.01
04/01/2023,0.01
05/01/2023,0.01
06/01/2023,0.01
07/01/2023,1.13
08/01/2023,2.32
09/01/2023,2.35
10/01/2023,2.35
11/01/2023,2.35
12/01/2023,2.35
