Bulan/Tahun,Value
01/01/2020,-0.14
02/01/2020,-0.11
03/01/2020,-0.11
04/01/2020,-0.11
05/01/2020,-0.11
06/01/2020,-0.11
07/01/2020,0.05
08/01/2020,0.62
09/01/2020,1.24
10/01/2020,1.28
11/01/2020,1.4
12/01/2020,1.4
01/01/2021,0.04
02/01/2021,0.04
03/01/2021,0.05
04/01/2021,0.06
05/01/2021,0.06
06/01/2021,0.09
07/01/2021,0.27
08/01/2021,1.48
09/01/2021,1.58
10/01/2021,1.6
11/01/2021,1.6
12/01/2021,1.6
01/01/2022,0.08
02/01/2022,0.16
03/01/2022,0.16
04/01/2022,0.16
05/01/2022,0.17
06/01/2022,0.18
07/01/2022,0.52
08/01/2022,2.38
09/01/2022,2.59
10/01/2022,2.74
11/01/2022,2.76
12/01/2022,2.77
01/01/2023,0.12
02/01/2023,0.14
03/01/2023,0.14
04/01/2023,0.14
05/01/2023,0.15
06/01/2023,0.16
07/01/2023,0.82
08/01/2023,1.68
09/01/2023,1.89
10/01/2023,1.97
11/01/2023,1.97
12/01/2023,1.97
