Bulan/Tahun,Value
01/01/2020,0
02/01/2020,0.03
03/01/2020,0.03
04/01/2020,0.03
05/01/2020,0.03
06/01/2020,0.03
07/01/2020,0.07
08/01/2020,0.37
09/01/2020,2.04
10/01/2020,2.15
11/01/2020,2.15
12/01/2020,2.15
01/01/2021,0
02/01/2021,0
03/01/2021,0
04/01/2021,0.01
05/01/2021,0.01
06/01/2021,0.01
07/01/2021,0.09
08/01/2021,1.04
09/01/2021,1.28
10/01/2021,1.3
11/01/2021,1.3
12/01/2021,1.3
01/01/2022,0
02/01/2022,0
03/01/2022,0
04/01/2022,0
05/01/2022,0
06/01/2022,0
07/01/2022,0.03
08/01/2022,2.36
09/01/2022,2.69
10/01/2022,2.95
11/01/2022,2.95
12/01/2022,2.95
01/01/2023,0
02/01/2023,0
03/01/2023,0
04/01/2023,0
05/01/2023,0
06/01/2023,0
07/01/2023,0.04
08/01/2023,0.95
09/01/2023,1.38
10/01/2023,1.42
11/01/2023,1.42
12/01/2023,1.42
