Kota Inflasi,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA MEULABOH,-0.06,-0.06,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.39,-0.83,-0.62,-0.62
KOTA BANDA ACEH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.15,-1.15,-1.15
KOTA LHOKSEUMAWE,0.00,0.00,0.00,0.00,-0.62,-0.62,-0.62,-0.62,-0.62,-3.11,-3.11,-2.90
KOTA SIBOLGA,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.88,-0.88,-0.88,-1.36,-1.36
KOTA PEMATANG SIANTAR,-0.97,2.17,2.17,2.17,2.17,2.17,2.17,0.60,0.60,0.60,0.60,0.60
KOTA MEDAN,1.22,1.22,1.18,1.28,1.19,1.13,1.04,0.96,0.96,0.95,0.95,0.90
KOTA PADANGSIDIMPUAN,1.54,0.96,0.51,0.51,-0.58,8.11,8.11,8.11,8.11,8.11,8.11,7.96
KOTA PADANG,0.73,11.26,21.62,21.71,21.71,22.01,22.01,21.77,21.77,21.77,21.85,20.96
KOTA BUKITTINGGI,-0.33,-0.51,-0.70,-0.66,-0.66,-0.79,-1.18,-1.24,-1.57,-1.57,-1.49,-1.49
TEMBILAHAN,0.52,0.52,0.52,0.00,0.00,0.00,0.00,-0.03,-0.03,-0.04,-0.04,-0.04
KOTA PEKANBARU,-0.06,-0.15,-0.16,-0.25,-0.79,-0.77,-0.77,-0.79,-1.46,-2.39,-2.93,-3.69
KOTA DUMAI,0.00,0.00,0.00,-0.10,-0.10,0.16,0.16,0.16,0.16,0.16,0.16,0.16
BUNGO,10.96,10.79,10.55,10.52,10.52,10.52,10.52,10.67,10.67,10.51,10.51,10.08
KOTA JAMBI,-0.50,-2.12,-1.58,-1.59,-1.28,0.65,0.29,0.01,-0.92,-0.92,-0.92,-1.54
KOTA PALEMBANG,0.00,0.06,0.06,0.13,0.30,0.34,0.35,0.35,1.75,1.75,1.75,1.82
KOTA LUBUKLINGGAU,0.00,-0.18,-0.18,-0.15,-0.15,0.03,-0.11,-0.11,-0.11,0.16,0.16,0.16
KOTA BENGKULU,0.00,2.69,2.43,2.66,2.69,2.69,2.69,2.69,2.07,1.48,1.58,1.58
KOTA BANDAR LAMPUNG,0.00,0.00,0.00,0.00,-2.30,-2.30,-2.30,-2.37,-2.37,-2.33,-3.06,-3.06
KOTA METRO,-1.18,-1.24,-1.58,-1.79,-1.85,-1.85,-1.73,-3.10,-3.04,-3.26,-3.44,-4.12
TANJUNG PANDAN,0.00,0.00,5.97,5.97,5.96,5.96,5.96,5.99,6.13,6.11,6.99,6.99
KOTA PANGKAL PINANG,0.03,0.27,-0.30,-0.44,-0.36,-0.46,-0.46,-0.73,-0.73,-0.84,-0.84,-0.84
KOTA BATAM,0.58,0.58,1.02,1.02,1.02,1.16,1.16,1.16,1.16,1.16,1.16,1.16
KOTA TANJUNG PINANG,0.00,0.00,0.06,0.06,-0.12,-0.20,-0.17,-0.23,-0.32,-0.32,-0.32,-0.26
DKI JAKARTA,0.00,0.17,0.17,0.17,0.31,0.31,0.31,0.34,0.34,0.58,0.80,0.32
KOTA BOGOR,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.22,-0.14,-0.14,-0.14,-0.14,-1.22
KOTA SUKABUMI,0.00,0.00,0.00,0.00,-0.08,-0.08,0.41,0.32,0.32,0.32,0.12,0.12
KOTA BANDUNG,0.21,0.11,0.11,0.11,0.11,0.23,0.23,0.23,0.11,0.36,0.36,0.44
KOTA CIREBON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA BEKASI,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.47,1.48,1.57
KOTA DEPOK,0.00,0.00,0.00,-0.24,-0.24,-0.24,-0.24,-0.24,-0.37,0.15,-0.45,-0.61
KOTA TASIKMALAYA,1.74,3.69,3.44,2.85,2.85,2.59,4.98,4.98,5.01,5.01,5.15,5.15
CILACAP,0.00,0.03,0.03,0.03,0.02,-0.06,0.06,-1.14,-1.58,-2.58,-2.44,-2.44
PURWOKERTO,-0.02,-1.48,-1.50,-1.63,-1.81,-1.48,-1.48,-1.57,-1.74,-1.92,-1.95,-1.99
KUDUS,0.00,0.00,0.00,0.23,0.23,0.23,0.23,-2.58,-2.58,-2.50,-2.50,-2.50
KOTA SURAKARTA,1.41,2.10,2.10,2.06,2.43,2.47,2.52,2.61,2.58,2.56,2.59,2.38
KOTA SEMARANG,0.00,0.00,0.02,0.02,-0.03,0.06,0.06,0.06,0.06,-0.03,-0.03,-0.09
KOTA TEGAL,0.90,0.83,1.20,1.13,1.13,1.66,1.66,1.60,1.42,1.42,0.45,0.45
KOTA YOGYAKARTA,0.30,0.29,0.27,0.26,0.05,0.06,0.05,0.16,-0.02,0.89,0.83,0.85
JEMBER,0.45,0.84,0.88,0.84,0.87,1.08,0.56,0.56,0.70,0.52,0.50,0.47
BANYUWANGI,0.00,0.00,0.00,-0.20,-0.41,-0.56,-0.51,-0.38,-1.17,-1.53,0.05,0.07
SUMENEP,0.00,0.05,0.05,0.07,0.01,0.01,0.03,-0.62,1.78,1.88,1.49,1.49
KOTA KEDIRI,-0.53,-0.25,-0.25,-0.25,-0.25,-0.25,-0.48,-0.48,-0.58,-0.59,-0.56,-0.56
KOTA MALANG,0.04,0.04,0.04,-0.31,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.31,-0.31
KOTA PROBOLINGGO,0.00,0.00,0.00,-0.66,-0.66,-0.66,-0.83,-1.90,-1.90,-1.90,-1.90,-1.90
